epoch,train_loss,valid_loss,learning_rate,is_checkpoint,best_so_far,note
1,5.9811,4.5595,0.00048036,false,true,warmup_or_early_training
2,4.3451,4.0431,0.00073945,false,true,
3,4.0048,3.8334,0.00060376,false,true,
4,3.8329,3.7286,0.00052287,true,true,
5,3.7281,3.6466,0.00046767,false,true,
6,3.6527,3.6070,0.00042692,false,true,
7,3.5929,3.5656,0.00039525,false,true,
8,3.5438,3.5457,0.00036973,true,true,
9,3.5006,3.5248,0.00034858,false,true,
10,3.4635,3.5161,0.00033069,false,true,
11,3.4310,3.5006,0.00031530,false,true,
12,3.4021,3.4938,0.00030188,true,true,
13,3.3764,3.4845,0.00029004,false,true,
14,3.3524,3.4776,0.00027949,false,true,
15,3.3309,3.4750,0.00027001,false,true,
16,3.3113,3.4777,0.00026144,true,false,
17,3.2930,3.4752,0.00025363,false,false,
18,3.2755,3.4756,0.00024648,false,false,
19,3.2597,3.4781,0.00023991,false,false,
20,3.2443,3.4693,0.00023383,true,true,best_valid_loss
21,3.2302,3.4744,0.00022820,false,false,overfitting_starts
22,3.2169,3.4824,0.00022295,false,false,
23,3.2036,3.4741,0.00021805,false,false,
24,3.1911,3.4914,0.00021346,true,false,
25,3.1795,3.4908,0.00020915,false,false,
26,3.1682,3.4957,0.00020509,false,false,
27,3.1568,3.4965,0.00020125,false,false,
28,3.1469,3.5013,0.00019763,true,false,
29,3.1367,3.5030,0.00019419,false,false,
30,3.1273,3.4950,0.00019093,false,false,
31,3.1187,3.5044,0.00018782,false,false,
32,3.1097,3.5089,0.00018486,true,false,
33,3.1014,3.5052,0.00018204,false,false,
34,3.0930,3.5190,0.00017934,false,false,later_overfitting
35,3.0848,3.5195,0.00017676,false,false,
36,3.0765,3.5307,0.00017429,true,false,
37,3.0692,3.5253,0.00017192,false,false,
38,3.0618,3.5171,0.00016964,false,false,
39,3.0547,3.5368,0.00016745,false,false,
40,3.0475,3.5418,0.00016535,true,false,
41,3.0411,3.5404,0.00016332,false,false,
42,3.0341,3.5585,0.00016136,false,false,
43,3.0280,3.5524,0.00015947,false,false,
44,3.0214,3.5682,0.00015765,true,false,
45,3.0149,3.5540,0.00015589,false,false,
46,3.0099,3.5452,0.00015419,false,false,
47,3.0039,3.5578,0.00015254,false,false,
48,2.9984,3.5653,0.00015094,true,false,final_epoch
